Date,Adj Close,Close,High,Low,Open,Volume
1/2/2019,121.3300018,121.3300018,121.75,120.8799973,121.3499985,12776200
1/3/2019,122.4300003,122.4300003,122.4599991,121.7300034,121.7799988,15440800
1/4/2019,121.4400024,121.4400024,121.5999985,120.6900024,121.3199997,13334000
1/7/2019,121.8600006,121.8600006,122.2200012,121.5699997,122.1600037,7473600
1/8/2019,121.5299988,121.5299988,121.7099991,121.0599976,121.1500015,7643100
1/9/2019,122.3099976,122.3099976,122.3399963,121.4400024,121.4499969,10555900
1/10/2019,121.5899963,121.5899963,122.1800003,121.5699997,121.9800034,6672000
1/11/2019,121.8000031,121.8000031,122.0500031,121.6600037,121.7399979,8622400
1/14/2019,122.0899963,122.0899963,122.2399979,121.8700027,122.1500015,6477100
1/15/2019,121.8799973,121.8799973,122.3799973,121.6200027,122.2799988,7512500
1/16/2019,122.2699966,122.2699966,122.4400024,122.0199966,122.0400009,6878100
1/17/2019,122.1100006,122.1100006,122.2600021,121.8099976,122.0299988,8558500
1/18/2019,121.0199966,121.0199966,121.5199966,121.0199966,121.2300034,10896000
1/22/2019,121.4499969,121.4499969,121.5,120.9000015,121.1800003,7896500
1/23/2019,121.2799988,121.2799988,121.5400009,120.8600006,120.9599991,5224900
1/24/2019,121.0899963,121.0899963,121.3600006,120.9199982,121.1600037,5662500
1/25/2019,122.8600006,122.8600006,122.9100037,122.0199966,122.0199966,11103300
1/28/2019,123.2900009,123.2900009,123.2900009,122.7200012,122.75,8522200
1/29/2019,123.9800034,123.9800034,124,123.4599991,123.7099991,11610200
1/30/2019,124.6900024,124.6900024,125.0699997,123.6999969,123.9100037,12104000
1/31/2019,124.75,124.75,125.2300034,124.6200027,125.1800003,10209500
2/1/2019,124.5,124.5,125.0500031,124.3700027,124.8899994,12485500
2/4/2019,123.9599991,123.9599991,124.2900009,123.8199997,123.9899979,6878900
2/5/2019,124.2799988,124.2799988,124.4199982,124.0500031,124.2900009,6291100
2/6/2019,123.4400024,123.4400024,124.1900024,123.4000015,124.1600037,6595100
2/7/2019,123.7399979,123.7399979,123.9499969,123.4400024,123.8000031,5935500
2/8/2019,124.2099991,124.2099991,124.3300018,123.9800034,124.0500031,4235200
2/11/2019,123.5999985,123.5999985,123.8199997,123.1900024,123.1900024,4821800
2/12/2019,123.8600006,123.8600006,124.0299988,123.6100006,123.9599991,4271900
2/13/2019,123.3700027,123.3700027,124.5500031,123.3099976,123.8399963,7640500
2/14/2019,124.0599976,124.0599976,124.1999969,123.5299988,123.8399963,6276500
2/15/2019,124.8000031,124.8000031,125,124.1800003,124.5899963,12190100
2/19/2019,126.6999969,126.6999969,126.7900009,125.9300003,125.9800034,15614000
2/20/2019,126.4800034,126.4800034,127.2099991,126.3099976,127,8889700
2/21/2019,125.0500031,125.0500031,126.2200012,125.0500031,126.1500015,8634600
2/22/2019,125.5,125.5,125.9499969,125.3899994,125.5299988,5439400
2/25/2019,125.3700027,125.3700027,125.9000015,125.2300034,125.7799988,4882600
2/26/2019,125.5800018,125.5800018,125.6200027,125.0500031,125.3300018,5153200
2/27/2019,124.6900024,124.6900024,125.2300034,124.4000015,125.1699982,7935600
2/28/2019,123.9899979,123.9899979,124.7099991,123.9800034,124.7099991,7811700
3/1/2019,121.8799973,121.8799973,123.9599991,121.8700027,123.4800034,16411700
3/4/2019,121.5599976,121.5599976,121.8499985,121.1800003,121.5599976,10272600
3/5/2019,121.7200012,121.7200012,121.7300034,121.0299988,121.3799973,7120100
3/6/2019,121.6100006,121.6100006,121.6399994,121.2600021,121.4300003,4820400
3/7/2019,121.5100021,121.5100021,121.7099991,121.1800003,121.2699966,6088800
3/8/2019,122.8399963,122.8399963,122.8899994,122.3700027,122.6999969,10427700
3/11/2019,122.2399979,122.2399979,122.5400009,121.9199982,122.5199966,6708700
3/12/2019,122.9800034,122.9800034,123.0299988,122.4000015,122.5400009,6289900
3/13/2019,123.8399963,123.8399963,123.8799973,123.4300003,123.5599976,7377300
3/14/2019,122.4100037,122.4100037,122.5500031,122.1200027,122.3300018,6778200
3/15/2019,122.9700012,122.9700012,123.4000015,122.9100037,123.0599976,9412000
3/18/2019,123.0400009,123.0400009,123.4000015,122.8899994,123.3000031,7783200
3/19/2019,123.3799973,123.3799973,123.7900009,123.3399963,123.7200012,6558700
3/20/2019,124.1800003,124.1800003,124.4199982,122.6500015,123.6600037,11304900
3/21/2019,123.6800003,123.6800003,124.3700027,123.1100006,124.3600006,7739800
3/22/2019,123.9700012,123.9700012,124.2200012,123.7300034,123.9300003,5874000
3/25/2019,124.9199982,124.9199982,125.1100006,124.4800034,124.5599976,7288300
3/26/2019,124.3000031,124.3000031,124.5100021,124.0699997,124.4800034,5056100
3/27/2019,123.6500015,123.6500015,124.3799973,123.5599976,124.3499985,6595000
3/28/2019,121.9000015,121.9000015,122.3600006,121.7099991,122.2799988,11878300
3/29/2019,122.0100021,122.0100021,122.75,122.0100021,122.6399994,7093900
4/1/2019,121.5299988,121.5299988,122.4300003,121.4599991,122.4000015,13560000
4/2/2019,121.9800034,121.9800034,122.0100021,121.6800003,121.7200012,4475000
4/3/2019,121.8000031,121.8000031,122.0100021,121.6800003,121.7300034,6152200
4/4/2019,122.1100006,122.1100006,122.2399979,120.9599991,121.0999985,7508400
4/5/2019,121.9800034,121.9800034,122.1299973,121.6600037,121.8799973,5114500
4/8/2019,122.5100021,122.5100021,123.0199966,122.4000015,122.9700012,4270800
4/9/2019,123.1500015,123.1500015,123.3499985,123.0299988,123.2600021,4648400
4/10/2019,123.5299988,123.5299988,123.7699966,123.1900024,123.2200012,6344800
4/11/2019,121.9499969,121.9499969,122.75,121.7900009,122.5400009,11694500
4/12/2019,121.8300018,121.8300018,122.3099976,121.8000031,121.9599991,5272800
4/15/2019,121.5999985,121.5999985,121.8199997,121.0999985,121.1999969,4252400
4/16/2019,120.5100021,120.5100021,120.6299973,120.1900024,120.3799973,10097800
4/17/2019,120.2799988,120.2799988,120.5100021,120.1999969,120.4599991,4693900
4/18/2019,120.3700027,120.3700027,120.5400009,120.1500015,120.2399979,4090400
4/22/2019,120.3700027,120.3700027,120.5,120.2699966,120.4599991,2250900
4/23/2019,120.1200027,120.1200027,120.1999969,119.5500031,119.6699982,5574800
4/24/2019,120.4700012,120.4700012,120.7200012,120.0400009,120.0599976,4173000
4/25/2019,120.5699997,120.5699997,121.0999985,120.5,120.7200012,4836900
4/26/2019,121.3700027,121.3700027,121.6699982,121.2200012,121.2600021,6022700
4/29/2019,120.8300018,120.8300018,120.9100037,120.6699982,120.8799973,4469300
4/30/2019,121.1999969,121.1999969,121.3600006,120.8499985,120.8899994,4758600
5/1/2019,120.4000015,120.4000015,121.5500031,120.1800003,121.0299988,12331800
5/2/2019,119.9400024,119.9400024,120.1100006,119.5400009,119.6900024,6759600
5/3/2019,120.6500015,120.6500015,121.0800018,120.4800034,120.5599976,8414400
5/6/2019,120.8099976,120.8099976,121.1200027,120.5400009,120.6100006,3479600
5/7/2019,121.2099991,121.2099991,121.4199982,120.9100037,121.0199966,4010700
5/8/2019,120.9100037,120.9100037,121.5400009,120.7699966,121.5400009,4178800
5/9/2019,121.1999969,121.1999969,121.6200027,120.8600006,120.9599991,5015500
