,Date,Adj Close,Close,High,Low,Open,Volume
0,2019-01-02,1281.0,1281.0,1286.0,1277.599976,1286.0,149
1,2019-01-03,1291.800049,1291.800049,1292.0,1286.699951,1286.800049,10
2,2019-01-04,1282.699951,1282.699951,1294.199951,1275.300049,1294.199951,34
3,2019-01-07,1286.800049,1286.800049,1286.800049,1286.599976,1286.800049,2
4,2019-01-08,1283.199951,1283.199951,1283.199951,1278.199951,1280.5,54
5,2019-01-09,1289.300049,1289.300049,1289.300049,1279.199951,1279.400024,102
6,2019-01-10,1284.699951,1284.699951,1284.699951,1284.699951,1284.699951,0
7,2019-01-11,1287.099976,1287.099976,1291.199951,1286.300049,1291.199951,11
8,2019-01-14,1289.099976,1289.099976,1293.900024,1289.099976,1292.400024,7
9,2019-01-15,1286.199951,1286.199951,1292.699951,1286.199951,1290.099976,3
10,2019-01-16,1291.599976,1291.599976,1291.599976,1291.599976,1291.599976,2
11,2019-01-17,1291.0,1291.0,1292.699951,1288.5,1291.599976,10
12,2019-01-18,1281.300049,1281.300049,1281.300049,1281.300049,1281.300049,3
13,2019-01-22,1282.5,1282.5,1283.300049,1282.5,1282.5,7
14,2019-01-23,1283.099976,1283.099976,1283.900024,1278.699951,1281.699951,14
15,2019-01-24,1279.099976,1279.099976,1279.099976,1278.5,1279.099976,1
16,2019-01-25,1297.400024,1297.400024,1297.400024,1297.400024,1297.400024,0
17,2019-01-28,1302.400024,1302.400024,1307.099976,1298.400024,1300.800049,54
18,2019-01-29,1308.199951,1308.199951,1308.199951,1308.199951,1308.199951,213607
19,2019-01-30,1309.900024,1309.900024,1323.400024,1308.099976,1310.400024,54958
20,2019-01-31,1319.699951,1319.699951,1325.400024,1316.699951,1320.0,1970
21,2019-02-01,1316.900024,1316.900024,1320.699951,1315.400024,1320.300049,878
22,2019-02-04,1314.300049,1314.300049,1318.099976,1308.300049,1318.099976,675
23,2019-02-05,1314.199951,1314.199951,1315.099976,1311.0,1311.099976,362
24,2019-02-06,1309.5,1309.5,1313.5,1305.0,1312.5,358
